Id,Title,Episodes,Year,Original channel,American company,Note,Technique,IMDb,Google users,wiki_title,wiki_short_description,wiki_summary,wiki_url,wiki_status
33,Adventures in Nutrition with Captain Carlos,20.0,2004-2005,Playhouse Disney,,,Flash,5.2,55%,,,,,failed_404
47,Alabama Jackson,7.0,2022,YouTube,Stoopid Buddy Stoodios,,Stop-Motion,8.4,89%,,,,,failed_404
61,Alvin and the Chipmunks (1983),102.0,1983-1990,NBC,Bagdasarian Productions,,Traditional,6.6,89%,,,,,failed_404
66,American Heroes & Legends,9.0,1992-1993,Showtime,Rabbit Ears Productions,,Traditional,4.2,65%,,,,,failed_404
70,Animaniacs (1993),99.0,1993-1998,Fox Kids (1993-1995)Kids' WB (1995-1998),Warner Bros. Animation,,Traditional,7.9,94%,,,,,failed_404
99,Action Man (2000),26.0,2000-2001,Fox Kids,Saban Entertainment,Canadian co-production,CGI,6.4,93%,,,,,failed_404
101,Adventure Beast,12.0,2021,Netflix,Mission Control Media,Australian co-production,Flash,5.4,62%,,,,,failed_404
110,Alvin and the Chipmunks (2015),130.0,2015-2023,Nickelodeon,Bagdasarian Productions,French co-production,CGI,4.5,78%,,,,,failed_404
124,Babble Pop!,72.0,2021-present,Peacock,,,CGI,2.6,44%,,,,,failed_404
147,"The BeatBuds, Let's Jam!",10.0,2021,Nickelodeon,Nickelodeon Animation Studio,,Flash,6.9,89%,,,,,failed_404
158,Bibleman (revival series),26.0,2016-2020,Direct-to-Video,Pamplin Entertainment,,Traditional,2.8,69%,,,,,failed_404
167,Biker Mice from Mars (1993),65.0,1993-1996,Syndication,New World Animation,,Traditional,7.0,94%,,,,,failed_404
177,Bloop & Loop,50.0,2007,BabyFirstTV,,,Flash,4.2,58%,,,,,failed_404
187,Bossy Bear,17.0,2023-present,Nick Jr.,Renegade Animation,,Flash,8.3,70%,,,,,failed_404
227,Bedtime Primetime Classics,12.0,1996,Direct-to-Video,"Phoenix Animation Studios
Blye Migicovsky Productions",Canadian co-production,Traditional,,,,,,,failed_404
228,Bee and PuppyCat: Lazy in Space,16.0,2022,Netflix,Frederator Studios,Japanese co-production,Traditional,8.5,98%,,,,,failed_404
240,Blippi Wonders,28.0,2021-present,YouTube,Moonbug Entertainment,British co-production,CGI,4.7,60%,,,,,failed_404
260,Calling Cat-22,5.0,2008,Cartoon Network,Cartoon Network Studios,,Flash,7.1,94%,,,,,failed_404
269,Captain Fall,10.0,2023,Netflix,Netflix Animation,,Traditional,7.0,91%,,,,,failed_404
300,Cherub Wings,15.0,2000-2005,Direct-to-Video,Sunny Side-Up Entertainment,,CGI,,63%,,,,,failed_404
308,Chozen,10.0,2014,FX,Floyd County Productions,,Flash,6.5,75%,,,,,failed_429
311,Clarence,130.0,2014-2018,Cartoon Network,Cartoon Network Studios,,Traditional,6.8,86%,,,,,failed_429
313,Classical Baby,6.0,2005,HBO Family,MaGiK World Animation,,Flash/Traditional/CGI,8.8,82%,,,,,failed_429
316,The Cleveland Show,89.0,2009-2013,Fox,Fuzzy Door Productions,,Traditional,5.6,79%,,,,,failed_429
318,Clue Club,16.0,1976,CBS,Hanna-Barbera,,Traditional,6.8,86%,,,,,failed_429
320,Code Monkeys,26.0,2007-2008,G4,Monkey Wrangler Productions,,Flash,7.2,92%,,,,,failed_429
322,Colonel Bleep,100.0,1957-1960,Syndication,Richard M. Ullcan Inc.,,Traditional,6.5,96%,,,,,failed_429
324,Commander McBragg,48.0,1964-1966,CBS,Total Television,,Traditional,3.1,34%,,,,,failed_429
327,Constantine: City of Demons,2.0,2018-2019,CW Seed,Warner Bros. AnimationDC Entertainment,,Traditional,7.5,86%,,,,,failed_429
345,Captain Laserhawk: A Blood Dragon Remix,10.0,2023,Netflix,Ubisoft Film & Television,French co-production,Traditional,7.1,73%,,,,,failed_429
350,Carmen Sandiego,19.0,2019-2021,Netflix,Top Draw Animation,Canadian co-production,Flash,7.9,90%,,,,,failed_429
353,Casper's Scare School,52.0,2009-2012,Cartoon Network,The Harvey Entertainment Company,French-Indian co-production,CGI,4.5,87%,,,,,failed_429
355,CBS Storybreak,26.0,1985-1989,CBS,CBS Productions,Australian co-production,Traditional,7.8,96%,,,,,failed_429
357,Chaotic,79.0,2006-2010,Fox (4Kids TV),Bardel Entertainment,Canadian co-production,Traditional,6.6,78%,,,,,failed_429
362,City of Ghosts,6.0,2021,Netflix,Netflix Animation,French co-production,CGI,7.4,58%,,,,,failed_429
364,Clifford the Big Red Dog (2000),66.0,2000-2003,PBS Kids,Scholastic Corporation,British co-production,Traditional,6.5,87%,,,,,failed_429
365,Clifford the Big Red Dog (2019),39.0,2019-2021,PBS KidsAmazon Prime Video,Scholastic Corporation,Canadian co-production,Flash,5.6,59%,,,,,failed_404
368,Cloudy with a Chance of Meatballs,52.0,2017-2018,Cartoon Network,Sony Pictures Animation,Canadian co-production,Flash,6.9,77%,,,,,failed_429
370,Coconut Fred's Fruit Salad Island,13.0,2005-2006,Kids' WB,Warner Bros. Animation,Canadian co-production,Flash,2.6,34%,,,,,failed_429
