Id,Title,Episodes,Year,Original channel,American company,Note,Technique,IMDb,Google users,wiki_title,wiki_short_description,wiki_summary,wiki_url,wiki_status
1,2 Stupid Dogs,26.0,1993-1995,TBS,Hanna-Barbera,,Traditional,7.2,91%,2 Stupid Dogs,American animated television series,"2 Stupid Dogs is an American animated television series created by Donovan Cook and produced by Hanna-Barbera Cartoons for TBS. It originally ran from September 5, 1993, to February 13, 1995, as part of TBS's Sunday Morning in Front of the TV block and in syndication. The show's main segments feature two unnamed dogs, called the ""Little Dog"" and the ""Big Dog"" in the credits. The show entirely used digital ink and paint in every episode.",https://en.wikipedia.org/wiki/2_Stupid_Dogs,success
2,3-2-1 Penguins!,27.0,2000-2008,Direct to video,Big Idea Productions,,CGI,6.5,91%,3-2-1 Penguins!,American science fiction flash animated Christian children's television series,"3-2-1 Penguins! is an American science fiction flash-animated children's television series, initially launched on November 14, 2000, as a direct-to-video episode by Big Idea Entertainment with videos released between 2000 and 2003. The direct-to-video series held the top spot on the Soundscan kid video sales charts for its first 18 weeks of release, was the #1 seller on Christian Booksellers Association's video list in 2001, and had sold 1.5 million videos as of February 2009.",https://en.wikipedia.org/wiki/3-2-1_Penguins!,success
3,3-South,13.0,2002-2003,MTV,Warner Bros. AnimationMTV Animation,,Traditional,8.0,87%,3-South,American animated TV series,"3-South is an American adult animated sitcom created by Mark Hentemann for MTV. The show premiered on November 7, 2002, and ran for 11 episodes before being cancelled on February 1, 2003 with two episodes not airing.",https://en.wikipedia.org/wiki/3-South,success
4,3Below: Tales of Arcadia,28.0,2018-2019,Netflix,DreamWorks Animation Television,,CGI,7.6,77%,3Below: Tales of Arcadia,2018 animated web series,"3Below: Tales of Arcadia is an American animated science fantasy television series produced by DreamWorks Animation, and is the second installment of Guillermo del Toro's Tales of Arcadia trilogy.",https://en.wikipedia.org/wiki/3Below%3A_Tales_of_Arcadia,success
5,3rd & Bird,51.0,2008-2010,Playhouse Disney,Little Airplane Productions,British co-production,Flash,7.8,92%,3rd & Bird,Children's television series,"3rd & Bird is a children's animated television series created by Josh Selig and directed by Jennifer Oxley. The series was animated by Little Airplane Productions, which opened a second studio in London to produce it. The show revolves around a community of birds and their adventures. It was broadcast on the BBC's CBeebies channel from 1 July 2008 to 31 July 2010. Described in its initial press release as ""a charming new animated series all about community"", the show's format generally involves one or more of the characters encountering a problem which must be solved using the social skills which pre-school children must develop in order to make their way in the world.",https://en.wikipedia.org/wiki/3rd_%26_Bird,success
6,The 7D,44.0,2014-2016,Disney XD,Disney Television Animation,,Traditional,5.7,85%,The 7D,American animated television series,"The 7D is an American animated television series produced by Disney Television Animation, which premiered on Disney XD on July 7, 2014. It is a re-imagining of the title characters from the 1937 film Snow White and the Seven Dwarfs by Walt Disney Animation Studios. The first season consisted of 24 episodes. On December 2, 2014, the series was renewed for a second season. On April 25, 2016, Disney XD announced that the series would be cancelled after two seasons. The show aired its final episode on November 5, 2016, with 44 episodes produced.",https://en.wikipedia.org/wiki/The_7D,success
7,12 oz. Mouse,31.0,2005-2020,Adult Swim,Williams Street,,Flash,6.5,72%,12 oz. Mouse,American adult animated television series,"12 oz. Mouse is an American adult animated television series created by Matt Maiellaro for Cartoon Network's late-night programming block Adult Swim. The series revolves around Mouse Fitzgerald, nicknamed ""Fitz"", an alcoholic mouse who performs odd jobs so he can buy more beer. Together with his chinchilla companion Skillet, Fitz begins to recover suppressed memories that he once had a wife and a child who have now vanished. This leads him to seek answers about his past and the shadowy forces that seem to be manipulating his world.",https://en.wikipedia.org/wiki/12_oz._Mouse,success
8,The 13 Ghosts of Scooby-Doo,13.0,1985,ABC,Hanna-Barbera,,Traditional,7.3,91%,The 13 Ghosts of Scooby-Doo,American animated television series,"The 13 Ghosts of Scooby-Doo is an American animated television series produced by Hanna-Barbera Productions, and the seventh incarnation of the studio's Scooby-Doo franchise. It premiered on September 7, 1985 , and ran for one season on ABC as a half-hour program. Thirteen episodes of the show were made in 1985. It replaced The New Scooby-Doo Mysteries and aired alongside Scooby's Mystery Funhouse, a repackaging of earlier shows.",https://en.wikipedia.org/wiki/The_13_Ghosts_of_Scooby-Doo,success
9,101 Dalmatians: The Series,65.0,1997-1998,ABCSyndication,Jumbo PicturesDisney Television Animation,,Traditional,6.1,83%,101 Dalmatians: The Series,Television series,"101 Dalmatians: The Series is an American animated television series that aired from September 1, 1997, to March 4, 1998, on the Disney-Kellogg Alliance and ABC. It was produced by Walt Disney Television Animation and Jumbo Pictures and is based on the 1961 Disney animated feature film of the same name and its 1996 live-action remake. It features the voices of Pamela Adlon, Debi Mae West, Kath Soucie and Tara Strong, and is the first television series based on the 101 Dalmatians franchise; it was followed by 101 Dalmatian Street in 2019. It is notable for being the first series to air on ABC's One Saturday Morning programming block.",https://en.wikipedia.org/wiki/101_Dalmatians%3A_The_Series,success
10,Aaahh!!! Real Monsters,52.0,1994-1997,Nickelodeon,Klasky CsupoGames Animation,,Traditional,7.2,86%,Aaahh!!! Real Monsters,American animated television series,"Aaahh!!! Real Monsters is an American animated television series developed by Klasky Csupo for Nickelodeon. It is the fifth Nicktoon after Doug, Rugrats, The Ren & Stimpy Show and Rocko's Modern Life. The show focuses on three young monsters—Oblina, Ickis, and Krumm—who attend a school for monsters under a city dump and learn how to frighten humans. Many of the episodes revolve around their zany hijinks after making it to the surface in order to perform ""scares"" as class assignments. The series premiered on October 29, 1994, and aired until November 16, 1997. Aaahh!!! Real Monsters continued to air in reruns on Nicktoons until November 26, 2007.",https://en.wikipedia.org/wiki/Aaahh!!!_Real_Monsters,success
